ID,Time,
1TOQS3EX1G94NBJAFB,11:43:00,0:26:00
1TOQS3EX1G94NBJAFB,12:09:00,FALSE
1TOQSDHX19PIIHRAAG,11:32:37,0:06:23
1TOQSDHX19PIIHRAAG,11:39:00,FALSE
1TOQSFKX15F6S73AA1,12:10:42,23:32:18
1TOQSFKX15F6S73AA1,11:43:00,FALSE
1TOQSJ3X1G7V912AAN,11:31:00,0:08:00
1TOQSJ3X1G7V912AAN,11:39:00,FALSE
1TOQUMFX1G97QBHAMW,11:14:30,0:36:21
1TOQUMFX1G97QBHAMW,11:50:51,FALSE
1TOQURSX1G8T94QAMG,11:17:00,1:00:23
1TOQURSX1G8T94QAMG,12:17:23,FALSE
1TOR09CX1G62I5CAA9,12:13:51,0:27:09
1TOR09CX1G62I5CAA9,12:41:00,FALSE
1TOR0K3X15C50CHAFB,10:52:00,0:52:00
1TOR0K3X15C50CHAFB,11:44:00,FALSE
1TOR0OHX1GCQFU5AFZ,12:06:00,FALSE
1TOR26PX15BVQC6AF0,12:21:43,0:02:12
1TOR26PX15BVQC6AF0,12:23:55,FALSE
1TOR2C3X1GD7RGJAFA,11:10:09,0:30:51
1TOR2C3X1GD7RGJAFA,11:41:00,FALSE
1TOR5VFX1GAOC72AAG,11:30:00,0:58:44
1TOR5VFX1GAOC72AAG,12:28:44,FALSE
1TOR6OBX1GA6C98AF3,11:44:00,FALSE
1TOR8FSX166LI0NAAG,11:36:01,0:02:59
1TOR8FSX166LI0NAAG,11:39:00,FALSE
1TORA2FX1GA3V1FAFA,11:07:57,0:11:16
1TORA2FX1GA3V1FAFA,11:19:13,FALSE
1TORA2QX1GBHF24AFL,10:41:00,0:22:00
1TORA2QX1GBHF24AFL,11:03:00,FALSE
1TORAOEX1GA39KNAFP,11:10:13,0:05:52
1TORAOEX1GA39KNAFP,11:16:05,FALSE
1TORBRMX1G2L0L2NFP,11:23:28,0:08:32
1TORBRMX1G2L0L2NFP,11:32:00,FALSE
1TORD4OX1GB3GRLNFD,10:49:00,0:59:00
1TORD4OX1GB3GRLNFD,11:48:00,FALSE
1TORD5NX1G7QT18AAY,11:58:00,0:27:38
1TORD5NX1G7QT18AAY,12:25:38,FALSE
1TORDB4X1GABC6TAFW,10:38:59,0:27:01
1TORDB4X1GABC6TAFW,11:06:00,FALSE
1TORDUJX1G2ND48VF5,10:40:00,0:37:00
1TORDUJX1G2ND48VF5,11:17:00,FALSE
1TORE9GX1G6AFOEAFA,11:13:00,0:44:00
1TORE9GX1G6AFOEAFA,11:57:00,FALSE
1TOREDBX16N915MAA4,12:38:59,22:25:01
1TOREDBX16N915MAA4,11:04:00,FALSE
1TORELJX1FDR739AAR,11:25:30,0:04:30
1TORELJX1FDR739AAR,11:30:00,FALSE
1TORFMSX1FPCLTSAML,12:01:00,0:39:00
1TORFMSX1FPCLTSAML,12:40:00,FALSE
1TORFR6X0VE0HO8AFE,10:30:00,0:07:00
